,api_element,cq,suggest_sen,kwd
0,String.substring(int beginIndex),Did you cause the error java.lang.IndexOutOfBoundsException?, - if beginIndex is negative or larger than the length of this String object. you will cause the error java.lang.IndexOutOfBoundsException.,['java.lang.IndexOutOfBoundsException']
1,Math.incrementExact(long a),Did you cause the error java.lang.ArithmeticException?, - if the result overflows a long you will cause the error java.lang.ArithmeticException.,['java.lang.ArithmeticException']
2,Scanner.hasNextBigInteger(int radix),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
3,NavigableMap.tailMap(K fromKey),Did you cause the error java.lang.ClassCastException?," - if fromKey is not compatible with this map's comparator (or, if the map has no comparator, if fromKey does not implement Comparable). Implementations may, but are not required to, throw this exception if fromKey cannot be compared to keys currently in the map. you will cause the error java.lang.ClassCastException.",['java.lang.ClassCastException']
4,NavigableMap.tailMap(K fromKey),Did you cause the error java.lang.NullPointerException?," - if fromKey is null and this map uses natural ordering, or its comparator does not permit null keys you will cause the error java.lang.NullPointerException.",['java.lang.NullPointerException']
5,NavigableMap.tailMap(K fromKey),Did you cause the error java.lang.IllegalArgumentException?," - if this map itself has a restricted range, and fromKey lies outside the bounds of the range you will cause the error java.lang.IllegalArgumentException.",['java.lang.IllegalArgumentException']
6,Class.getGenericSuperclass(),Did you cause the error java.lang.reflect.GenericSignatureFormatError?, - if the generic class signature does not conform to the format specified in The Java™ Virtual Machine Specification you will cause the error java.lang.reflect.GenericSignatureFormatError.,['java.lang.reflect.GenericSignatureFormatError']
7,Class.getGenericSuperclass(),Did you cause the error java.lang.TypeNotPresentException?, - if the generic superclass refers to a non-existent type declaration you will cause the error java.lang.TypeNotPresentException.,['java.lang.TypeNotPresentException']
8,Class.getGenericSuperclass(),Did you cause the error java.lang.reflect.MalformedParameterizedTypeException?, - if the generic superclass refers to a parameterized type that cannot be instantiated for any reason you will cause the error java.lang.reflect.MalformedParameterizedTypeException.,['java.lang.reflect.MalformedParameterizedTypeException']
9,Date.before(Date when),Did you cause the error java.lang.NullPointerException?, - if when is null. you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
