api_element,cq,suggest_sen,kwd
String.substring(int beginIndex),Did you cause the error java.lang.IndexOutOfBoundsException?, - if beginIndex is negative or larger than the length of this String object. you will cause the error java.lang.IndexOutOfBoundsException.,['java.lang.IndexOutOfBoundsException']
Math.incrementExact(long a),Did you cause the error java.lang.ArithmeticException?, - if the result overflows a long you will cause the error java.lang.ArithmeticException.,['java.lang.ArithmeticException']
Scanner.hasNextBigInteger(int radix),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
NavigableMap.tailMap(K fromKey),Did you cause the error java.lang.ClassCastException?," - if fromKey is not compatible with this map's comparator (or, if the map has no comparator, if fromKey does not implement Comparable). Implementations may, but are not required to, throw this exception if fromKey cannot be compared to keys currently in the map. you will cause the error java.lang.ClassCastException.",['java.lang.ClassCastException']
NavigableMap.tailMap(K fromKey),Did you cause the error java.lang.NullPointerException?," - if fromKey is null and this map uses natural ordering, or its comparator does not permit null keys you will cause the error java.lang.NullPointerException.",['java.lang.NullPointerException']
NavigableMap.tailMap(K fromKey),Did you cause the error java.lang.IllegalArgumentException?," - if this map itself has a restricted range, and fromKey lies outside the bounds of the range you will cause the error java.lang.IllegalArgumentException.",['java.lang.IllegalArgumentException']
Class.getGenericSuperclass(),Did you cause the error java.lang.reflect.GenericSignatureFormatError?, - if the generic class signature does not conform to the format specified in The Java™ Virtual Machine Specification you will cause the error java.lang.reflect.GenericSignatureFormatError.,['java.lang.reflect.GenericSignatureFormatError']
Class.getGenericSuperclass(),Did you cause the error java.lang.TypeNotPresentException?, - if the generic superclass refers to a non-existent type declaration you will cause the error java.lang.TypeNotPresentException.,['java.lang.TypeNotPresentException']
Class.getGenericSuperclass(),Did you cause the error java.lang.reflect.MalformedParameterizedTypeException?, - if the generic superclass refers to a parameterized type that cannot be instantiated for any reason you will cause the error java.lang.reflect.MalformedParameterizedTypeException.,['java.lang.reflect.MalformedParameterizedTypeException']
Date.before(Date when),Did you cause the error java.lang.NullPointerException?, - if when is null. you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
Class.getGenericInterfaces(),Did you cause the error java.lang.reflect.GenericSignatureFormatError?, - if the generic class signature does not conform to the format specified in The Java™ Virtual Machine Specification you will cause the error java.lang.reflect.GenericSignatureFormatError.,['java.lang.reflect.GenericSignatureFormatError']
Class.getGenericInterfaces(),Did you cause the error java.lang.TypeNotPresentException?, - if any of the generic superinterfaces refers to a non-existent type declaration you will cause the error java.lang.TypeNotPresentException.,['java.lang.TypeNotPresentException']
Class.getGenericInterfaces(),Did you cause the error java.lang.reflect.MalformedParameterizedTypeException?, - if any of the generic superinterfaces refer to a parameterized type that cannot be instantiated for any reason you will cause the error java.lang.reflect.MalformedParameterizedTypeException.,['java.lang.reflect.MalformedParameterizedTypeException']
Scanner.nextDouble(),Did you cause the error java.util.InputMismatchException?," - if the next token does not match the Float regular expression, or is out of range you will cause the error java.util.InputMismatchException.",['java.util.InputMismatchException']
Scanner.nextDouble(),Did you cause the error java.util.NoSuchElementException?, - if the input is exhausted you will cause the error java.util.NoSuchElementException.,['java.util.NoSuchElementException']
Scanner.nextDouble(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
Scanner.nextBoolean(),Did you cause the error java.util.InputMismatchException?, - if the next token is not a valid boolean you will cause the error java.util.InputMismatchException.,['java.util.InputMismatchException']
Scanner.nextBoolean(),Did you cause the error java.util.NoSuchElementException?, - if input is exhausted you will cause the error java.util.NoSuchElementException.,['java.util.NoSuchElementException']
Scanner.nextBoolean(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
String.codePointAt(int index),Did you cause the error java.lang.IndexOutOfBoundsException?, - if the index argument is negative or not less than the length of this string. you will cause the error java.lang.IndexOutOfBoundsException.,['java.lang.IndexOutOfBoundsException']
Currency.getInstance(Locale locale),Did you cause the error java.lang.NullPointerException?, - if locale or its country code is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
Currency.getInstance(Locale locale),Did you cause the error java.lang.IllegalArgumentException?, - if the country of the given locale is not a supported ISO 3166 country code. you will cause the error java.lang.IllegalArgumentException.,['java.lang.IllegalArgumentException']
Scanner.hasNextBoolean(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
"NavigableSet.subSet(E fromElement, boolean fromInclusive, E toElement, boolean toInclusive)",Did you cause the error java.lang.ClassCastException?,toElement - high endpoint of the returned set you will cause the error java.lang.ClassCastException.,['java.lang.ClassCastException']
"NavigableSet.subSet(E fromElement, boolean fromInclusive, E toElement, boolean toInclusive)",Did you cause the error java.lang.NullPointerException?,toInclusive - true if the high endpoint is to be included in the returned view you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
"NavigableSet.subSet(E fromElement, boolean fromInclusive, E toElement, boolean toInclusive)",Did you cause the error java.lang.IllegalArgumentException?,"a view of the portion of this set whose elements range from fromElement, inclusive, to toElement, exclusive you will cause the error java.lang.IllegalArgumentException.",['java.lang.IllegalArgumentException']
"NavigableSet.subSet(E fromElement, boolean fromInclusive, E toElement, boolean toInclusive)",Did you cause the error java.lang.ClassCastException?," - if fromElement and toElement cannot be compared to one another using this set's comparator (or, if the set has no comparator, using natural ordering). Implementations may, but are not required to, throw this exception if fromElement or toElement cannot be compared to elements currently in the set. you will cause the error java.lang.ClassCastException.",['java.lang.ClassCastException']
"NavigableSet.subSet(E fromElement, boolean fromInclusive, E toElement, boolean toInclusive)",Did you cause the error java.lang.NullPointerException?, - if fromElement or toElement is null and this set does not permit null elements you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
"NavigableSet.subSet(E fromElement, boolean fromInclusive, E toElement, boolean toInclusive)",Did you cause the error java.lang.IllegalArgumentException?," - if fromElement is greater than toElement; or if this set itself has a restricted range, and fromElement or toElement lies outside the bounds of the range. you will cause the error java.lang.IllegalArgumentException.",['java.lang.IllegalArgumentException']
Scanner.hasNextBigInteger(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
Scanner.hasNextShort(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
Math.toIntExact(long value),Did you cause the error java.lang.ArithmeticException?, - if the argument overflows an int you will cause the error java.lang.ArithmeticException.,['java.lang.ArithmeticException']
Scanner.skip(String pattern),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
Map.Entry.getValue(),Did you cause the error java.lang.IllegalStateException?," - implementations may, but are not required to, throw this exception if the entry has been removed from the backing map. you will cause the error java.lang.IllegalStateException.",['java.lang.IllegalStateException']
Spliterator.getComparator(),Did you cause the error java.lang.IllegalStateException?, - if the spliterator does not report a characteristic of SORTED. you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
Short.valueOf(String s),Did you cause the error java.lang.NumberFormatException?, - If the String does not contain a parsable short. you will cause the error java.lang.NumberFormatException.,['java.lang.NumberFormatException']
Scanner.hasNextShort(int radix),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
Readable.read(CharBuffer cb),Did you cause the error java.io.IOException?, - if an I/O error occurs you will cause the error java.io.IOException.,['java.io.IOException']
Readable.read(CharBuffer cb),Did you cause the error java.lang.NullPointerException?, - if cb is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
Readable.read(CharBuffer cb),Did you cause the error java.nio.ReadOnlyBufferException?, - if cb is a read only buffer you will cause the error java.nio.ReadOnlyBufferException.,['java.nio.ReadOnlyBufferException']
PrimitiveIterator.OfInt.nextInt(),Did you cause the error java.util.NoSuchElementException?, - if the iteration has no more elements you will cause the error java.util.NoSuchElementException.,['java.util.NoSuchElementException']
Objects.requireNonNull(T obj),Did you cause the error java.lang.NullPointerException?, - if obj is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
Character.toChars(int codePoint),Did you cause the error java.lang.IllegalArgumentException?, - if the specified codePoint is not a valid Unicode code point. you will cause the error java.lang.IllegalArgumentException.,['java.lang.IllegalArgumentException']
PrimitiveIterator.OfLong.nextLong(),Did you cause the error java.util.NoSuchElementException?, - if the iteration has no more elements you will cause the error java.util.NoSuchElementException.,['java.util.NoSuchElementException']
NavigableMap.headMap(K toKey),Did you cause the error java.lang.ClassCastException?," - if toKey is not compatible with this map's comparator (or, if the map has no comparator, if toKey does not implement Comparable). Implementations may, but are not required to, throw this exception if toKey cannot be compared to keys currently in the map. you will cause the error java.lang.ClassCastException.",['java.lang.ClassCastException']
NavigableMap.headMap(K toKey),Did you cause the error java.lang.NullPointerException?," - if toKey is null and this map uses natural ordering, or its comparator does not permit null keys you will cause the error java.lang.NullPointerException.",['java.lang.NullPointerException']
NavigableMap.headMap(K toKey),Did you cause the error java.lang.IllegalArgumentException?," - if this map itself has a restricted range, and toKey lies outside the bounds of the range you will cause the error java.lang.IllegalArgumentException.",['java.lang.IllegalArgumentException']
GenericDeclaration.getTypeParameters(),Did you cause the error java.lang.reflect.GenericSignatureFormatError?, - if the generic signature of this generic declaration does not conform to the format specified in The Java™ Virtual Machine Specification you will cause the error java.lang.reflect.GenericSignatureFormatError.,['java.lang.reflect.GenericSignatureFormatError']
ClassLoader.getParent(),Did you cause the error java.lang.SecurityException?, - If a security manager exists and its checkPermission method doesn't allow access to this class loader's parent class loader. you will cause the error java.lang.SecurityException.,['java.lang.SecurityException']
BitSet.flip(int bitIndex),Did you cause the error java.lang.IndexOutOfBoundsException?, - if the specified index is negative you will cause the error java.lang.IndexOutOfBoundsException.,['java.lang.IndexOutOfBoundsException']
Collections.reverse(List<?> list),Did you cause the error java.lang.UnsupportedOperationException?, - if the specified list or its list-iterator does not support the set operation. you will cause the error java.lang.UnsupportedOperationException.,['java.lang.UnsupportedOperationException']
